Colorado River km downstream of Lee's Ferry in Glen Canyon
River_km,Latitude,Longitude
0,36.8648911,-111.58737
0.1,36.8646698,-111.58846
0.2,36.8642616,-111.58944
0.3,36.8637314,-111.59034
0.4,36.8630219,-111.59103
0.5,36.8623085,-111.59173
0.6,36.8616791,-111.59251
0.7,36.8612289,-111.59348
0.8,36.8607712,-111.59445
0.9,36.8603096,-111.59541
1,36.8599091,-111.59642
1.1,36.85952,-111.59743
1.2,36.8591385,-111.59844
1.3,36.8587494,-111.59945
1.4,36.8583603,-111.60047
1.5,36.8577995,-111.60129
1.6,36.8570595,-111.60193
1.7,36.8563118,-111.60256
1.8,36.8555794,-111.60322
1.9,36.8548813,-111.60392
2,36.8541794,-111.60463
2.1,36.8534698,-111.60532
2.2,36.8527412,-111.60597
2.3,36.8520088,-111.60663
2.4,36.8512802,-111.60729
2.5,36.8505707,-111.60798
2.6,36.8501511,-111.60894
2.7,36.8498192,-111.60998
2.8,36.8497086,-111.61108
2.9,36.8497314,-111.6122
3,36.8496399,-111.61331
3.1,36.8494911,-111.61442
3.2,36.8491707,-111.61542
3.3,36.8484802,-111.61611
3.4,36.8476181,-111.61642
3.5,36.8467407,-111.61664
3.6,36.8458519,-111.61685
3.7,36.8449707,-111.61706
3.8,36.8440819,-111.61727
3.9,36.8432007,-111.61748
4,36.8423004,-111.61755
4.1,36.8414001,-111.61752
4.2,36.8404999,-111.61744
4.3,36.8396416,-111.61714
4.4,36.8387718,-111.61686
4.5,36.8378716,-111.6168
4.6,36.8369713,-111.61687
4.7,36.836071,-111.61696
4.8,36.8352814,-111.6174
4.9,36.8345184,-111.61801
5,36.8338013,-111.61864
5.1,36.8333588,-111.61962
5.2,36.83284,-111.62052
5.3,36.8322601,-111.62138
5.4,36.831749,-111.62228
5.5,36.8310509,-111.62299
5.6,36.8303604,-111.6237
5.7,36.8296585,-111.62441
5.8,36.8289604,-111.62512
5.9,36.82827,-111.62584
6,36.8275795,-111.62654
6.1,36.8267288,-111.62689
6.2,36.8259087,-111.62737
6.3,36.825119,-111.6279
6.4,36.8242989,-111.62835
6.5,36.8234291,-111.62862
6.6,36.8225403,-111.62882
6.7,36.8216515,-111.62894
6.8,36.8208199,-111.62938
6.9,36.8199883,-111.62982
7,36.8191605,-111.63026
7.1,36.8183289,-111.6307
7.2,36.8175392,-111.63122
7.3,36.8167381,-111.63175
7.4,36.8159485,-111.63228
7.5,36.8151588,-111.63281
7.6,36.8143311,-111.63327
7.7,36.8134804,-111.6336
7.8,36.8126106,-111.63394
7.9,36.8117409,-111.63419
8,36.8108597,-111.63443
8.1,36.8099899,-111.63472
8.2,36.8092804,-111.6354
