River kilometer measured from Lees Ferry (using NHD division) going upstream towards Glen Canyon Dam,,
River_km,Latitude,Longitude
0,36.8648911,-111.58737
-0.1,36.8651085,-111.58628
-0.2,36.8653297,-111.5852
-0.3,36.8653412,-111.5841
-0.4,36.8651695,-111.583
-0.5,36.8650093,-111.58189
-0.6,36.8648415,-111.58079
-0.7,36.8644104,-111.57982
-0.8,36.8638115,-111.57898
-0.9,36.8630714,-111.57837
-1,36.8622589,-111.57786
-1.1,36.8614502,-111.57741
-1.2,36.8605499,-111.5773
-1.3,36.8596497,-111.57736
-1.4,36.8587608,-111.57754
-1.5,36.8578606,-111.57754
-1.6,36.8569717,-111.57742
-1.7,36.8560905,-111.57715
-1.8,36.8552208,-111.57687
-1.9,36.8543701,-111.57651
-2,36.85355,-111.57604
-2.1,36.8527107,-111.57564
-2.2,36.8518715,-111.57524
-2.3,36.8510704,-111.57472
-2.4,36.8502808,-111.57419
-2.5,36.8494682,-111.57369
-2.6,36.8486595,-111.5732
-2.7,36.8478508,-111.57271
-2.8,36.8469696,-111.57253
-2.9,36.8460693,-111.5724
-3,36.845211,-111.5721
-3.1,36.8445511,-111.57137
-3.2,36.8439713,-111.57051
-3.3,36.843441,-111.56961
-3.4,36.8430099,-111.56862
-3.5,36.8427696,-111.56755
-3.6,36.8428116,-111.56643
-3.7,36.8429413,-111.56532
-3.8,36.8430405,-111.5642
-3.9,36.8431511,-111.56309
-4,36.8433685,-111.56201
-4.1,36.8437691,-111.56101
-4.2,36.8441505,-111.55999
-4.3,36.8443298,-111.5589
-4.4,36.8443108,-111.5578
-4.5,36.8439713,-111.55676
-4.6,36.8435287,-111.55578
-4.7,36.8432007,-111.55474
-4.8,36.8430405,-111.55364
-4.9,36.8428993,-111.55253
-5,36.8428688,-111.55142
-5.1,36.8430099,-111.55031
-5.2,36.8432312,-111.54922
-5.3,36.843441,-111.54813
-5.4,36.8438187,-111.54712
-5.5,36.8442612,-111.54614
-5.6,36.8447495,-111.54521
-5.7,36.8454094,-111.54445
-5.8,36.8460999,-111.54374
-5.9,36.84692,-111.54334
-6,36.8478088,-111.54321
-6.1,36.84869,-111.54346
-6.2,36.8495712,-111.54371
-6.3,36.8503494,-111.54424
-6.4,36.8510399,-111.54496
-6.5,36.8516808,-111.54574
-6.6,36.8522911,-111.54657
-6.7,36.8529015,-111.5474
-6.8,36.8535118,-111.54823
-6.9,36.8541107,-111.54906
-7,36.8547211,-111.54989
-7.1,36.8553314,-111.55072
-7.2,36.8559418,-111.55154
-7.3,36.8565598,-111.55236
-7.4,36.8571815,-111.55317
-7.5,36.8577995,-111.55398
-7.6,36.8584213,-111.5548
-7.7,36.8590393,-111.55561
-7.8,36.8596611,-111.55642
-7.9,36.8602905,-111.55723
-8,36.8609085,-111.55804
-8.1,36.8615303,-111.55885
-8.2,36.8622589,-111.5595
-8.3,36.86306,-111.56
-8.4,36.8638687,-111.5605
-8.5,36.8645897,-111.56118
-8.6,36.8652992,-111.56187
-8.7,36.8659592,-111.56262
-8.8,36.8666191,-111.56339
-8.9,36.8672791,-111.56415
-9,36.867939,-111.56492
-9.1,36.8685989,-111.56568
-9.2,36.8694382,-111.56608
-9.3,36.8703003,-111.56637
-9.4,36.8712006,-111.5665
-9.5,36.8720894,-111.56646
-9.6,36.8729706,-111.5662
-9.7,36.8737717,-111.56572
-9.8,36.8744011,-111.56492
-9.9,36.8747101,-111.56391
-10,36.8747787,-111.5628
-10.1,36.8748016,-111.56168
-10.2,36.8747101,-111.56056
-10.3,36.8744888,-111.55948
-10.4,36.8742294,-111.55841
-10.5,36.873951,-111.55733
-10.6,36.8736496,-111.55628
-10.7,36.8731995,-111.55531
-10.8,36.8728714,-111.55428
-10.9,36.8728485,-111.55316
-11,36.8731003,-111.55208
-11.1,36.8735313,-111.55109
-11.2,36.8740501,-111.55018
-11.3,36.87463,-111.54932
-11.4,36.8752289,-111.54849
-11.5,36.8758087,-111.54763
-11.6,36.8763885,-111.54677
-11.7,36.8769188,-111.54586
-11.8,36.8773308,-111.54487
-11.9,36.8776512,-111.54383
-12,36.8779297,-111.54276
-12.1,36.8781891,-111.54168
-12.2,36.8784409,-111.54061
-12.3,36.8786888,-111.53953
-12.4,36.8789406,-111.53845
-12.5,36.8792,-111.53738
-12.6,36.8793793,-111.53628
-12.7,36.8795509,-111.53518
-12.8,36.8797112,-111.53407
-12.9,36.8796616,-111.53296
-13,36.8795204,-111.53185
-13.1,36.8793907,-111.53074
-13.2,36.8792992,-111.52963
-13.3,36.8791199,-111.52854
-13.4,36.8787193,-111.52754
-13.5,36.8783188,-111.52653
-13.6,36.8779297,-111.52552
-13.7,36.8775291,-111.52451
-13.8,36.8771591,-111.52349
-13.9,36.8768196,-111.52245
-14,36.876709,-111.52134
-14.1,36.876709,-111.52023
-14.2,36.8768692,-111.51913
-14.3,36.8772392,-111.5181
-14.4,36.8776093,-111.51708
-14.5,36.8780289,-111.51609
-14.6,36.878479,-111.51511
-14.7,36.8791885,-111.51444
-14.8,36.8800201,-111.51402
-14.9,36.8809204,-111.514
-15,36.8817406,-111.51442
-15.1,36.8824501,-111.51511
-15.2,36.883091,-111.5159
-15.3,36.8836594,-111.51675
-15.4,36.8840218,-111.51778
-15.5,36.8844109,-111.51879
-15.6,36.8848991,-111.51973
-15.7,36.8853493,-111.52069
-15.8,36.8853416,-111.52181
-15.9,36.8852997,-111.52293
-16,36.88517,-111.52404
-16.1,36.8848801,-111.5251
-16.2,36.8847694,-111.52616
-16.3,36.8850212,-111.52724
-16.4,36.8853493,-111.52828
-16.5,36.8859406,-111.52912
-16.6,36.8866692,-111.52973
-16.7,36.8875198,-111.53005
-16.8,36.888401,-111.52988
-16.9,36.8891983,-111.52936
-17,36.8898811,-111.52863
-17.1,36.8903885,-111.52771
-17.2,36.8909111,-111.52679
-17.3,36.8914299,-111.52587
-17.4,36.8920097,-111.52501
-17.5,36.8927307,-111.52435
-17.6,36.8935814,-111.524
-17.7,36.8944702,-111.52384
-17.8,36.8953705,-111.52376
