Green River km downstream of Flaming Gorge Dam,,
River_km,Latitude,Longitude
0,40.9144897,-109.4217
0.1,40.9136086,-109.42152
0.2,40.9127083,-109.42159
0.3,40.9118309,-109.42185
0.4,40.9109802,-109.42222
0.5,40.910099,-109.42244
0.6,40.9091911,-109.4225
0.7,40.9083214,-109.42235
0.8,40.9076691,-109.42164
0.9,40.9072495,-109.4206
1,40.9071312,-109.41943
1.1,40.9071198,-109.41825
1.2,40.9071999,-109.41707
1.3,40.9072914,-109.41588
1.4,40.9072304,-109.41471
1.5,40.9069595,-109.41359
1.6,40.9065895,-109.4125
1.7,40.90625,-109.4114
1.8,40.9059601,-109.41028
1.9,40.9058495,-109.40911
2,40.9058304,-109.40792
2.1,40.9056816,-109.40676
2.2,40.9052505,-109.40573
2.3,40.9047585,-109.40473
2.4,40.9041595,-109.40385
2.5,40.9035301,-109.40331
2.6,40.903389,-109.40225
2.7,40.9030304,-109.40116
2.8,40.9025383,-109.40017
2.9,40.9020309,-109.39919
3,40.9015198,-109.39822
3.1,40.9009018,-109.39736
3.2,40.9002609,-109.39652
3.3,40.8997688,-109.39554
3.4,40.8995209,-109.39442
3.5,40.8993607,-109.39325
3.6,40.8991318,-109.39211
3.7,40.8991699,-109.39095
3.8,40.8995285,-109.3899
3.9,40.9001312,-109.38902
4,40.9006996,-109.38809
4.1,40.9012718,-109.38718
4.2,40.9016685,-109.38618
4.3,40.9021301,-109.38517
4.4,40.9025116,-109.3841
4.5,40.9029083,-109.38303
4.6,40.9033318,-109.38198
4.7,40.9035683,-109.38097
4.8,40.9038696,-109.37987
4.9,40.90411,-109.37873
5,40.9043694,-109.37759
5.1,40.9046288,-109.37646
5.2,40.9048004,-109.3753
5.3,40.9049416,-109.37412
5.4,40.9049301,-109.37294
5.5,40.9047012,-109.3718
5.6,40.9040985,-109.37097
5.7,40.9033012,-109.37043
5.8,40.90242,-109.37025
5.9,40.9015312,-109.37003
6,40.90065,-109.36979
6.1,40.8997688,-109.36958
6.2,40.89888,-109.36934
6.3,40.89814,-109.36867
6.4,40.8974991,-109.36786
6.5,40.8972702,-109.36674
6.6,40.8972511,-109.36555
6.7,40.8973618,-109.36437
6.8,40.897419,-109.36319
6.9,40.897419,-109.36201
7,40.8972588,-109.36084
7.1,40.8971214,-109.3597
7.2,40.8974113,-109.35857
7.3,40.8977013,-109.35745
7.4,40.8980293,-109.35634
7.5,40.8983994,-109.35527
7.6,40.8989906,-109.35438
7.7,40.8997307,-109.35371
7.8,40.9005203,-109.35315
7.9,40.9012413,-109.35245
8,40.9018402,-109.35156
8.1,40.90242,-109.35065
8.2,40.9029808,-109.34973
8.3,40.9035492,-109.3488
8.4,40.9041214,-109.34788
8.5,40.9046707,-109.34695
8.6,40.9051094,-109.34591
8.7,40.9056702,-109.34498
8.8,40.9062309,-109.34406
8.9,40.9068718,-109.34325
9,40.90765,-109.34266
9.1,40.908329,-109.34189
9.2,40.9090195,-109.34113
9.3,40.9097595,-109.34044
9.4,40.9104805,-109.33973
9.5,40.9111519,-109.33894
9.6,40.9117889,-109.3381
9.7,40.9123917,-109.33722
9.8,40.9128609,-109.33625
9.9,40.9130898,-109.3351
10,40.9131088,-109.33392
10.1,40.9129601,-109.33276
10.2,40.9126091,-109.33167
10.3,40.9121513,-109.33065
10.4,40.9116707,-109.32965
10.5,40.9113808,-109.3288
10.6,40.9106712,-109.32822
10.7,40.9101105,-109.32729
10.8,40.9095497,-109.32635
10.9,40.9090004,-109.32542
11,40.9084892,-109.32445
11.1,40.9080391,-109.32341
11.2,40.9078712,-109.32229
11.3,40.907959,-109.32112
11.4,40.9082718,-109.32001
11.5,40.9086418,-109.31893
11.6,40.9091682,-109.31799
11.7,40.909729,-109.31709
